© 2000-2023 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Increased Levels of LDH	Increased release of LDH	9,07E-03	IL1B	1
Liver Cirrhosis,Liver Fibrosis	Primary biliary cirrhosis	9,76E-03	NQO1,SLC51A	2
Kidney Failure	End stage renal disease	1,03E-02	CYP2D6,GHR	2
Liver Inflammation/Hepatitis	Infection by Hepatitis C virus	1,27E-02	ABCC2,UGT1A1	2
Kidney Failure	Chronic allograft nephropathy	1,42E-02	HAVCR1	1
Liver Cirrhosis,Liver Fibrosis	Decompensated cirrhosis of liver	1,55E-02	GHR	1
Heart Failure	Ischemic heart failure	1,55E-02	IL1B	1
Liver Fibrosis,Liver Proliferation	Proliferation of hepatic stellate cells	1,68E-02	LGALS3	1
Liver Proliferation	Proliferation of hepatocytes	1,93E-02	IL1B	1
Renal Proliferation	Proliferation of mesangial cells	2,32E-02	IL1B	1
Cardiac Inflammation	Acute myocarditis	2,57E-02	IL1B	1
Cardiac Arrythmia	Atrial fibrillation	2,62E-02	CDKN1A,CYP2D6	2
Liver Inflammation/Hepatitis	Acute alcoholic hepatitis	2,70E-02	IL1B	1
Cardiac Arrythmia	Symptomatic stage atrial fibrillation	2,82E-02	CYP2D6	1
Cardiac Arrythmia,Tachycardia	Sustained ventricular tachycardia	2,82E-02	CYP2D6	1
Cardiac Arrythmia	Symptomatic stage atrial flutter	2,82E-02	CYP2D6	1
Liver Steatosis	Nonalcoholic fatty liver disease	2,92E-02	ACADL,CYP2E1	2
Cardiac Inflammation	Pericarditis	3,08E-02	IL1B	1
Cardiac Infarction	Nonfatal myocardial infarction	3,33E-02	CYP2C19	1
Cardiac Dysfunction	Diastolic dysfunction	3,45E-02	IL1B	1
Increased Levels of Alkaline Phosphatase	Increased activation of alkaline phosphatase	3,96E-02	IL1B	1
Cardiac Arrythmia,Tachycardia	Recurrent tachyarrhythmia	3,96E-02	CYP2D6	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	BCLC stage B hepatocellular carcinoma	4,08E-02	CCND1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Membranous glomerulonephritis	4,21E-02	HAVCR1	1
Cardiac Arrythmia	Severe ventricular arrhythmia	4,83E-02	CYP2D6	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	BCLC stage C hepatocellular carcinoma	4,83E-02	CCND1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	IgA nephropathy	5,45E-02	HAVCR1	1
Glomerular Injury	Focal segmental glomerulosclerosis	5,69E-02	HAVCR1	1
Heart Failure	Chronic heart failure	5,82E-02	GHR	1
Cardiac Damage	Cardiotoxicity	6,06E-02	ABCC2	1
Cardiac Dysfunction	Calcification of aortic valve	6,46E-02	HMOX1,UCHL1	2
Cardiac Arrythmia	Ventricular fibrillation	7,28E-02	CYP2D6	1
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 1	7,52E-02	ABCC2	1
Liver Inflammation/Hepatitis,Liver Steatosis	Nonalcoholic steatohepatitis	8,12E-02	CYP2E1	1
Liver Inflammation/Hepatitis	Chronic hepatitis B	8,48E-02	IL1B	1
Renal Necrosis/Cell Death	Cell death of kidney cell lines	8,66E-02	CDKN1A,CRYAB	2
Heart Failure	Acute heart failure	8,72E-02	ABCB1	1
Cardiac Infarction	ST-elevation myocardial infarction	1,13E-01	IL1B	1
Liver Hyperplasia/Hyperproliferation	Hepatoblastoma	1,14E-01	GHR	1
Cardiac Dilation,Cardiac Enlargement	Primary dilated cardiomyopathy	1,55E-01	CRYAB	1
Cardiac Infarction	Acute myocardial infarction	1,79E-01	ABCB1	1
Renal Proliferation	Cell proliferation of kidney cell lines	2,41E-01	CDKN1A	1
Renal Necrosis/Cell Death	Apoptosis of kidney cell lines	3,01E-01	CDKN1A	1
