© 2000-2023 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	BCLC stage B hepatocellular carcinoma	5,22E-02	CCND1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Membranous glomerulonephritis	5,38E-02	HAVCR1	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	BCLC stage C hepatocellular carcinoma	6,17E-02	CCND1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	IgA nephropathy	6,95E-02	HAVCR1	1
Glomerular Injury	Focal segmental glomerulosclerosis	7,26E-02	HAVCR1	1
Renal Necrosis/Cell Death	Apoptosis of kidney cell lines	7,61E-02	BCL2L1,CDKN1A	2
Liver Inflammation/Hepatitis	Alcoholic hepatitis	7,88E-02	CXCL1	1
Pulmonary Hypertension	Primary pulmonary hypertension	8,03E-02	BCL2L1	1
Cardiac Infarction	Myocardial infarction	8,15E-02	ABCB1,BMP1	2
Cardiac Arteriopathy	Coronary artery disease	8,60E-02	ABCB1,FN1	2
Cardiac Arrythmia	Ventricular fibrillation	9,26E-02	MAOA	1
Liver Failure	Failure of liver	9,41E-02	CYP7B1	1
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 1	9,56E-02	SCD	1
Cardiac Dysfunction	Calcification of aortic valve	9,98E-02	FN1,HMOX1	2
Cardiac Arrythmia,Tachycardia	Ventricular tachycardia	1,11E-01	MAOA	1
Heart Failure	Acute heart failure	1,11E-01	ABCB1	1
Liver Inflammation/Hepatitis	Inflammation of liver	1,11E-01	BCL2L1,CXCL1	2
Cardiac Dilation,Cardiac Enlargement	Dilated cardiomyopathy	1,21E-01	BCL2L1,FN1	2
Liver Inflammation/Hepatitis	Chronic hepatitis C	1,33E-01	BCL2L1	1
Kidney Failure	End stage renal disease	1,80E-01	CD86	1
Renal Necrosis/Cell Death	Cell viability of kidney cell lines	1,96E-01	BCL2L1	1
Cardiac Infarction	Acute myocardial infarction	2,24E-01	ABCB1	1
Nephrosis	Nephrosis	2,94E-01	FN1	1
Renal Proliferation	Cell proliferation of kidney cell lines	2,99E-01	CDKN1A	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Lupus nephritis	3,07E-01	CD86	1
