© 2000-2023 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis C virus-related hepatocellular carcinoma	2,93E-02	CAT	1
Cardiac Arteriopathy	Coronary artery disease	2,98E-02	ABCB1,FN1	2
Glomerular Injury,Renal Inflammation,Renal Nephritis	Membranous glomerulonephritis	3,02E-02	HAVCR1	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Metastatic hepatocellular carcinoma	3,11E-02	HSP90AA1	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	BCLC stage C hepatocellular carcinoma	3,47E-02	CCND1	1
Liver Hyperplasia/Hyperproliferation	Primary liver cancer	3,56E-02	HSP90AA1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	IgA nephropathy	3,92E-02	HAVCR1	1
Glomerular Injury	Focal segmental glomerulosclerosis	4,10E-02	HAVCR1	1
Liver Hyperplasia/Hyperproliferation	Unresectable liver cholangiocarcinoma	4,63E-02	HSP90AA1	1
Liver Hyperplasia/Hyperproliferation	Metastatic liver cholangiocarcinoma	4,81E-02	HSP90AA1	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Unresectable hepatocellular carcinoma	5,25E-02	HSP90AA1	1
Heart Failure	Acute heart failure	6,31E-02	ABCB1	1
Liver Inflammation/Hepatitis	Chronic hepatitis C	7,61E-02	SPP1	1
Cardiac Infarction	Acute myocardial infarction	1,31E-01	ABCB1	1
Kidney Failure	Chronic renal failure	1,33E-01	CDKN1A	1
Cardiac Arrythmia	Atrial fibrillation	1,66E-01	CDKN1A	1
Liver Steatosis	Nonalcoholic fatty liver disease	1,75E-01	CAT	1
Nephrosis	Nephrosis	1,76E-01	FN1	1
Cardiac Dilation,Cardiac Enlargement	Dilated cardiomyopathy	2,86E-01	FN1	1
